District #,Formatted API #,Operator Name,Operator Code,Field Name,Field Code,API #,Lease Name,Well #,Well Status,Pool WellTypes,Section,Township,Range,Base Meridian,Area Code,Area Name,Latitude,Longitude,GISSourceCode,DatumCode,BLMWell,DryHole,Directional,Hydraulically Fractured,SPUD Date,Completion Date,Abandoned Date
4,030-24365,California Resources Production Corporation,C0885,Ant Hill,18,3024365,Southern Pacific,4H,A,OG,15,29S,29E,MD,0,Any Area,35.404585,-118.849883,gps,83,N,N,N, ,,,
4,030-24366,"Stockdale Oil & Gas, Inc.",S6360,Ant Hill,18,3024366,Southern Pacific,5H,C,OG,15,29S,29E,MD,0,Any Area,35.40458479,-118.85046973,mip,83,N,N,N, ,,,
4,030-25015,"Stockdale Oil & Gas, Inc.",S6360,Ant Hill,18,3025015,Southern Pacific,6H,C,OG,15,29S,29E,MD,0,Any Area,35.40361181,-118.84993873,mip,83,N,N,N, ,,,
4,030-25016,"Stockdale Oil & Gas, Inc.",S6360,Ant Hill,18,3025016,Southern Pacific,7H,C,OG,15,29S,29E,MD,0,Any Area,35.40510678,-118.85648092,mip,83,N,N,N, ,,,
4,030-28718,California Resources Production Corporation,C0885,Ant Hill,18,3028718,Southern Pacific,5H,A,OG,15,29S,29E,MD,0,Any Area,35.39916,-118.855422,gps,83,N,N,N, ,,,
4,030-31133,California Resources Production Corporation,C0885,Ant Hill,18,3031133,Southern Pacific,8H,A,OG,15,29S,29E,MD,0,Any Area,35.401712,-118.859796,gps,83,N,N,N, ,,,
4,030-31134,California Resources Production Corporation,C0885,Ant Hill,18,3031134,Southern Pacific,10H,A,OG,15,29S,29E,MD,0,Any Area,35.402747,-118.857201,gps,83,N,N,N, ,,,
4,030-31317,California Resources Production Corporation,C0885,Ant Hill,18,3031317,Southern Pacific,9H,A,OG,15,29S,29E,MD,0,Any Area,35.398443,-118.860112,gps,83,N,N,N, ,,,
4,030-46703,California Resources Production Corporation,C0885,Ant Hill,18,3046703,Southern Pacific,C-37-15,A,OG,15,29S,29E,MD,0,Any Area,35.401489385,-118.855062794,sum,83,N,N,Y, ,2012-03-31,2012-04-19,
4,030-47176,California Resources Production Corporation,C0885,Ant Hill,18,3047176,Siegfus,31X-22,C,OG,22,29S,29E,MD,0,Any Area,35.397495,-118.855887,opr,83,Y,N,N, ,,,
4,030-47239,California Resources Production Corporation,C0885,Ant Hill,18,3047239,Southern Pacific,11H,C,OG,15,29S,29E,MD,0,Any Area,35.401289982,-118.86040483,opr,83,Y,N,N, ,,,
