District #,Formatted API #,Operator Name,Operator Code,Field Name,Field Code,API #,Lease Name,Well #,Well Status,Pool WellTypes,Section,Township,Range,Base Meridian,Area Code,Area Name,Latitude,Longitude,GISSourceCode,DatumCode,BLMWell,DryHole,Directional,Hydraulically Fractured,SPUD Date,Completion Date,Abandoned Date
5,019-04119,Aera Energy LLC,A0610,Coalinga,150,01904119,Penn-Zier,P-16,P,"OG, SC",1,20S,14.0,MD,0,Any Area,36.217043157,-120.395353402,gps,83,N,N,N, ,1925-08-11,1925-09-12,2000-03-01
5,019-04120,Aera Energy LLC,A0610,Coalinga,150,01904120,Penn-Zier,P-20,P,"OG, SC",1,20S,14.0,MD,0,Any Area,36.215260187,-120.393652299,gps,83,N,N,N, ,1944-04-07,1944-04-18,2006-08-24
5,019-04121,Aera Energy LLC,A0610,Coalinga,150,01904121,Penn-Zier,Z-1,P,OG,1,20S,14.0,MD,0,Any Area,36.209136415,-120.400476618,gps,83,N,N,N, ,1903-08-01,1903-12-01,2001-10-05
5,019-04122,Aera Energy LLC,A0610,Coalinga,150,01904122,Penn-Zier,Z-2,P,OG,1,20S,14.0,MD,0,Any Area,36.209188424,-120.401492672,gps,83,N,N,N, ,,,2002-01-18
5,019-04123,Aera Energy LLC,A0610,Coalinga,150,01904123,Penn-Zier,Z-3,P,OG,1,20S,14.0,MD,0,Any Area,36.212828319,-120.400504645,gps,83,N,N,N, ,,,2001-07-13
5,019-04124,Aera Energy LLC,A0610,Coalinga,150,01904124,Penn-Zier,Z-4,P,OG,1,20S,14.0,MD,0,Any Area,36.213758294,-120.400516652,gps,83,N,N,N, ,1905-06-30,1905-08-02,2001-07-31
5,019-04125,Aera Energy LLC,A0610,Coalinga,150,01904125,Penn-Zier,Z-5,P,OG,1,20S,14.0,MD,0,Any Area,36.210136389,-120.400463624,gps,83,N,N,N, ,1906-02-28,1906-04-20,2002-01-09
5,019-04126,Aera Energy LLC,A0610,Coalinga,150,01904126,Penn-Zier,Z-6,P,OG,1,20S,14.0,MD,0,Any Area,36.20932243,-120.402444724,gps,83,N,N,N, ,1906-08-07,1906-09-23,2001-08-10
5,019-04127,Aera Energy LLC,A0610,Coalinga,150,01904127,Penn-Zier,Z-7,P,OG,1,20S,14.0,MD,0,Any Area,36.211190361,-120.400510634,gps,83,N,N,N, ,1907-05-11,1907-07-01,2001-07-16
5,019-04128,Aera Energy LLC,A0610,Coalinga,150,01904128,Penn-Zier,Z-8,P,OG,1,20S,14.0,MD,0,Any Area,36.210267395,-120.401440677,gps,83,N,N,N, ,1908-05-10,1908-06-16,2001-08-15
