District #,Formatted API #,Operator Name,Operator Code,Field Name,Field Code,API #,Lease Name,Well #,Well Status,Pool WellTypes,Section,Township,Range,Base Meridian,Area Code,Area Name,Latitude,Longitude,GISSourceCode,DatumCode,BLMWell,DryHole,Directional,Hydraulically Fractured,SPUD Date,Completion Date,Abandoned Date
5,019-00732,Aera Energy LLC,A0610,Coalinga,150,01900732,nan,11,P,OG,22,19S,15E,MD,0,Any Area,36.258722537,-120.319915928,opr,83,N,N,N, ,1909-01-01,,
5,019-00733,Aera Energy LLC,A0610,Coalinga,150,01900733,nan,12,P,OG,22,19S,15E,MD,0,Any Area,36.259794591,-120.326753317,opr,83,N,Y,N, ,1913-01-01,,1945-04-27
5,019-00734,Aera Energy LLC,A0610,Coalinga,150,01900734,Caribou,1,P,OG,22,19S,15E,MD,0,Any Area,36.253185728,-120.336984664,opr,83,N,N,N, ,,,1949-02-02
5,019-00735,Aera Energy LLC,A0610,Coalinga,150,01900735,Caribou,2,P,OG,22,19S,15E,MD,0,Any Area,36.253021726,-120.336642641,opr,83,N,Y,N, ,,1903-12-19,
5,019-00736,Aera Energy LLC,A0610,Coalinga,150,01900736,Caribou,3,P,OG,22,19S,15E,MD,0,Any Area,36.253675721,-120.336572656,opr,83,N,N,N, ,,,1946-06-29
5,019-00737,Aera Energy LLC,A0610,Coalinga,150,01900737,Caribou,4,P,OG,22,19S,15E,MD,0,Any Area,36.253335713,-120.335393584,opr,83,N,N,N, ,,1904-03-01,1989-03-30
5,019-00738,Aera Energy LLC,A0610,Coalinga,150,01900738,Caribou,5,P,OG,22,19S,15E,MD,0,Any Area,36.253236702,-120.334171518,opr,83,N,N,N, ,,,1992-03-09
5,019-00739,Aera Energy LLC,A0610,Coalinga,150,01900739,Caribou,6,P,OG,22,19S,15E,MD,0,Any Area,36.254488716,-120.336668684,opr,83,N,N,N, ,,,1995-09-25
5,019-00509,Aera Energy LLC,A0610,Coalinga,150,01900509,nan,6,P,OG,10,19S,15E,MD,0,Any Area,36.290561342,-120.319879846,opr,83,N,N,N, ,1911-06-19,,1944-03-06
5,019-00510,Aera Energy LLC,A0610,Coalinga,150,01900510,nan,7,P,OG,10,19S,15E,MD,0,Any Area,36.288517355,-120.319879787,opr,83,N,N,N, ,1911-11-25,2012-07-21,1916-11-27
5,019-00511,Aera Energy LLC,A0610,Coalinga,150,01900511,nan,8,P,OG,10,19S,15E,MD,0,Any Area,36.28763836,-120.319897762,opr,83,N,N,N, ,1911-09-12,,1917-01-18
5,019-00512,Aera Energy LLC,A0610,Coalinga,150,01900512,nan,9,P,OG,10,19S,15E,MD,0,Any Area,36.286232368,-120.319844719,gps,83,N,N,N, ,1911-08-26,,1979-03-22
5,019-00513,Aera Energy LLC,A0610,Coalinga,150,01900513,nan,10,P,OG,10,19S,15E,MD,0,Any Area,36.284773378,-120.319878679,gps,83,N,N,N, ,1911-07-08,1911-11-08,1979-03-14
5,019-00514,Aera Energy LLC,A0610,Coalinga,150,01900514,nan,11,P,OG,10,19S,15E,MD,0,Any Area,36.285685381,-120.321079767,gps,83,N,N,N, ,1919-09-22,1919-12-07,1979-04-08
5,019-00515,Aera Energy LLC,A0610,Coalinga,150,01900515,nan,12,P,OG,10,19S,15E,MD,0,Any Area,36.286612374,-120.320966788,opr,83,N,N,N, ,1920-01-21,1920-04-16,1979-04-22
5,019-00516,Aera Energy LLC,A0610,Coalinga,150,01900516,nan,13,P,OG,10,19S,15E,MD,0,Any Area,36.284614388,-120.321196742,gps,83,N,N,N, ,1920-04-19,1920-06-18,1946-03-28
5,019-00517,Aera Energy LLC,A0610,Coalinga,150,01900517,nan,14,P,OG,10,19S,15E,MD,0,Any Area,36.283578395,-120.321254715,opr,83,N,N,N, ,1920-10-07,1920-12-05,1951-08-03
5,019-00518,Aera Energy LLC,A0610,Coalinga,150,01900518,nan,15,P,OG,10,19S,15E,MD,0,Any Area,36.283221406,-120.322444767,gps,83,N,N,N, ,1920-11-22,1921-01-31,1947-03-19
